"filename", "language", "Markdown", "TypeScript", "C++", "Stylus", "Python", "JSON", "JavaScript", "Batch", "JSON with Comments", "YAML", "C", "Rust", "comment", "blank", "total"
"d:\Users\normalpcer\Documents\sync_code\ABC276b_Adjacency_List.cpp", "C++", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 39
"d:\Users\normalpcer\Documents\sync_code\ABC276c_Previous_Permutation.cpp", "C++", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 32
"d:\Users\normalpcer\Documents\sync_code\ABC276d_Divide_by_2_or_3.cpp", "C++", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 44
"d:\Users\normalpcer\Documents\sync_code\ABC276e_Round_Trip.cpp", "C++", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 88
"d:\Users\normalpcer\Documents\sync_code\ABC276f_Double_Chance.cpp", "C++", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 10, 96
"d:\Users\normalpcer\Documents\sync_code\ABC276g_Count_Sequences.cpp", "C++", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 12, 109
"d:\Users\normalpcer\Documents\sync_code\ABC282F_Union_of_Two_Sets.cpp", "C++", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 61
"d:\Users\normalpcer\Documents\sync_code\ABC300g_P_smooth_number.cpp", "C++", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 70
"d:\Users\normalpcer\Documents\sync_code\ABC324a_Same.cpp", "C++", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 54
"d:\Users\normalpcer\Documents\sync_code\ABC324b_Smooth_Numbers.cpp", "C++", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 50
"d:\Users\normalpcer\Documents\sync_code\ABC324c_Error_Correction.cpp", "C++", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 107
"d:\Users\normalpcer\Documents\sync_code\ABC324d_Square_Permutation.cpp", "C++", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 88
"d:\Users\normalpcer\Documents\sync_code\ABC324e_Join_Two_String.cpp", "C++", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 14, 105
"d:\Users\normalpcer\Documents\sync_code\ABC364b_Grid_Walk.cpp", "C++", 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 11, 195
"d:\Users\normalpcer\Documents\sync_code\ABC364c_Minimum_Glutton.cpp", "C++", 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 195
"d:\Users\normalpcer\Documents\sync_code\ABC364d_K_th_Nearest.cpp", "C++", 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 11, 187
"d:\Users\normalpcer\Documents\sync_code\ABC364e_Maximum_Glutton.cpp", "C++", 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 10, 189
